test_id,input_request,expected_label_id,expected_label_name
TR_00045,My account was charged a debit payment I don't recognize.,28,direct_debit_payment_not_recognised
TR_00046,"I didn't get cash from an ATM, but according to the app a transaction was made when i didn't make it.",20,cash_withdrawal_not_recognised
TR_00047,How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,45,pending_card_payment
TR_00048,I can't see my refund in my history.,51,Refund_not_showing_up
TR_00049,Are there any top-up limits?,60,top_up_limits
TR_00050,I want a refund for my item,52,request_refund
TR_00051,Can the card was sen to me be tracked?,11,card_arrival
TR_00052,Which cash machines will allow me to change my PIN?,21,change_pin
TR_00053,Is it possible to deposit money in GBP?,50,receiving_money
TR_00054,Exchange rate for my card payment is wrong,17,card_payment_wrong_exchange_rate
TR_00055,Can I use my account before my Identity verification has passed?,74,why_verify_identity
TR_00056,The transfer that I was trying to complete was declined. What was the cause?,27,declined_transfer
TR_00057,Why can't I transfer money to a beneficiery?,7,beneficiary_not_allowed
TR_00058,I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not?,51,Refund_not_showing_up
TR_00059,How much can I expect to pay to top up a US card?,57,top_up_by_card_charge
TR_00060,How do I change my information?,30,edit_personal_details
TR_00061,I may have a fraud charge on my debit statement.,28,direct_debit_payment_not_recognised
TR_00062,There is a payment on my card that I do not recognize.,16,card_payment_not_recognised
TR_00063,Why hasn't my friend's transaction arrive yet?,66,transfer_not_received_by_recipient
TR_00064,I want to cancel my purchase,52,request_refund
TR_00065,Why doesn't my card work for any transactions?,14,card_not_working
TR_00066,Why am I getting charged more for using my card?,15,card_payment_fee_charged
TR_00067,stop the transaction,8,cancel_transfer
TR_00068,What can you use the disposable cards for?,37,get_disposable_virtual_card
TR_00069,I was wondering about transferring money into my account and how it works.  Can you tell me about that?,65,transfer_into_account
TR_00070,People are using my debit card - help!,28,direct_debit_payment_not_recognised
TR_00071,I withdrew cash and was charged,19,cash_withdrawal_charge
TR_00072,I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend.  It didn't notify me beforehand either or I wouldn't have ever done it.,76,wrong_exchange_rate_for_cash_withdrawal
TR_00073,pending transaction?,45,pending_card_payment
TR_00074,I want to request a physical card,43,order_physical_card
TR_00075,I used my card to make a payment and wondered why the payment was reverted?,53,reverted_card_payment?
TR_00076,Who do I contact if there is a direct debit that I did not create.,28,direct_debit_payment_not_recognised
TR_00077,I'm trying to figure out the current exchange rate.,32,exchange_rate
TR_00078,How long does it take for cards to be delivered after ordering them?,12,card_delivery_estimate
TR_00079,Can I use visa or mastercard with your service,73,visa_or_mastercard
TR_00080,Does the top-up need verified?,71,verify_top_up
TR_00081,When will I receive a transfer from europe?,67,transfer_timing
TR_00082,Why can I not do a transfer to a beneficiary?,7,beneficiary_not_allowed
TR_00083,I just initiated a transfer but I'd like to cancel it.,8,cancel_transfer
TR_00084,I need to add money to my account. Can I do so via bank transfer?,65,transfer_into_account
TR_00085,Which cards and currencies are supported?,54,supported_cards_and_currencies
TR_00086,If I have a credit card with you how I get set up to link to it?,13,card_linking
TR_00087,I have been charged a fee for paying with card,15,card_payment_fee_charged
TR_00088,My card appears to have never arrived?,11,card_arrival
TR_00089,I think my top-up has failed.,59,top_up_failed
TR_00090,how long does delivery take?,12,card_delivery_estimate
TR_00091,What is a disposable virtual card?,37,get_disposable_virtual_card
TR_00092,"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",34,extra_charge_on_statement
TR_00093,I am seeing in the App a diret debit that its not mine,28,direct_debit_payment_not_recognised
TR_00094,How do I deactivate my account?,55,terminate_account
TR_00095,I still haven't received my card in the mail,11,card_arrival
TR_00096,Do the disposable cards have any restrictions?,29,disposable_card_limits
TR_00097,I recently made a transfer but I need to cancel it as soon as possible.  Please let me know when this happens.,8,cancel_transfer
TR_00098,Do I get charged if I get money?,56,top_up_by_bank_transfer_charge
TR_00099,Are there fees for using an international card to top up?,57,top_up_by_card_charge
TR_00100,"Hey, I attempted to top up my card today and for some reason it didn't work. When I did it the other way it worked just fine. Could you help me figure out why this is happening please?",59,top_up_failed
TR_00101,What are the top up fees for using an European bank card?,57,top_up_by_card_charge
TR_00102,The ATM gave me less cash than requested,75,wrong_amount_of_cash_received
TR_00103,i need to expedite my card,12,card_delivery_estimate
TR_00104,How long does it take for me to get my pin,38,get_physical_card
TR_00105,Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,17,card_payment_wrong_exchange_rate
TR_00106,Why do you need so much information to verify my identity?,74,why_verify_identity
TR_00107,I wanted to know about a pending dollar that is on my statement.,34,extra_charge_on_statement
TR_00108,How can I edit my personal details?,30,edit_personal_details
TR_00109,Why can't I get cash?,26,declined_cash_withdrawal
TR_00110,Why hasn't my card payment cleared yet?,45,pending_card_payment
TR_00111,Why can't I withdraw cash from this ATM?,26,declined_cash_withdrawal
TR_00112,There has been a red flag on my top up.,59,top_up_failed
TR_00113,I have exceeded the number of times I can try my PIN,49,pin_blocked
TR_00114,When will the transfer go through?,48,pending_transfer
TR_00115,I don't see a refund in my account.,51,Refund_not_showing_up
TR_00116,How do I use bank transfer to top up my account?,65,transfer_into_account
TR_00117,why has a cash withdrawal charged me?,19,cash_withdrawal_charge
TR_00118,My transfer was declined. What might the reason be?,27,declined_transfer
TR_00119,I can't see my Google Pay top up. Is it not working correctly?,2,apple_pay_or_google_pay
TR_00120,how long and how much does it cost for new card,9,card_about_to_expire
TR_00121,When are cards delivered?,12,card_delivery_estimate
TR_00122,So I just put my top-up into the card and it hasn't changed.,47,pending_top_up
TR_00123,My top-up has been reverted and I would like to know why.,61,top_up_reverted
TR_00124,What is necessary for the identity verification?,69,verify_my_identity
TR_00125,"How long do EU transfers take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",48,pending_transfer
TR_00126,How long will a transaction to a friend take?,66,transfer_not_received_by_recipient
TR_00127,What number of transactions can i do with one disposable card?,29,disposable_card_limits
TR_00128,"I don't find your services useful anymore, how do I delete my account?",55,terminate_account
TR_00129,"If I only have 1 other US card, can you take it?",54,supported_cards_and_currencies
TR_00130,What is the estimated date for delivery to US?,12,card_delivery_estimate
TR_00131,"I deposited money in the form of a cheque, but my balance has not increased.",6,balance_not_updated_after_cheque_or_cash_deposit
TR_00132,What is the process for activating a new card.,0,activate_my_card
TR_00133,What is the dollar that I have pending on my statement there?,34,extra_charge_on_statement
TR_00134,What other currencies can I hang onto?,36,fiat_currency_support
TR_00135,There is an unauthorized fee.,15,card_payment_fee_charged
TR_00136,"Can I get money in my home currency at some ATM? I'm on holiday and am a bit concerned because I don't have any cash with me, it is possible to withdraw here already without any additional cost?",76,wrong_exchange_rate_for_cash_withdrawal
TR_00137,Can you give me info about what to do when my card expires?,9,card_about_to_expire
TR_00138,How can I modify my details?,30,edit_personal_details
TR_00139,The ATM won't give back my card,18,card_swallowed
TR_00140,My transfer to another account was not allowed. Why is that?,7,beneficiary_not_allowed
TR_00141,how long should i wait ti activate my card,0,activate_my_card
TR_00142,Which ATMs accept this placard ?,3,atm_support
TR_00143,I'd like to order another card,39,getting_spare_card
TR_00144,I asked for 100 but only got 20.,75,wrong_amount_of_cash_received
TR_00145,Why did my top-up not get approved this time?,61,top_up_reverted
TR_00146,I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.,45,pending_card_payment
TR_00147,"I tried to use my debit card, but the payment did not work.",53,reverted_card_payment?
TR_00148,"I do not need GBP, I need AUD, how do I convert it?",33,exchange_via_app
TR_00149,The app shows a withdrawal that I did not make or authorize.,20,cash_withdrawal_not_recognised
TR_00150,I can't see a refund for a return I completed recently.,51,Refund_not_showing_up
TR_00151,For some reason my account's been charged an extra dollar.,34,extra_charge_on_statement
TR_00152,I deposited a cheque but the cash hasn't arrived yet,6,balance_not_updated_after_cheque_or_cash_deposit
TR_00153,"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.",51,Refund_not_showing_up
TR_00154,Can you tell me if a credit/refund is coming from a seller? I asked for refund directly from them and am still waiting. It's been a week now and i still havn't seen my refund yet.,51,Refund_not_showing_up
TR_00155,"It looks like someone else withdrew cash from my account, can you help?",20,cash_withdrawal_not_recognised
TR_00156,What is the estimated wait time on a US transfer into my account?,67,transfer_timing
TR_00157,Must I verify my identity?,74,why_verify_identity
TR_00158,I have money in a foreign account that I want to send to this account.,65,transfer_into_account
TR_00159,Why is my top-up still outstanding?,47,pending_top_up
TR_00160,I need help resetting my passcode to access my app.,44,passcode_forgotten
TR_00161,Tell me more about getting a virtual disposable card.,37,get_disposable_virtual_card
TR_00162,I see a direct debit payment on my statement that wasn't me,28,direct_debit_payment_not_recognised
TR_00163,Where can I pay with my card?,10,card_acceptance
TR_00164,I was under the impression I can make transfers for free. I made an online purchase for something that was obroad and there's some additional strange fee. I've never seen this before and this isn't fair.,64,transfer_fee_charged
TR_00165,my virtual card has not came yet!,40,getting_virtual_card
TR_00166,What is the charge for sending out more cards?,39,getting_spare_card
TR_00167,Can I get money out of any machine?,3,atm_support
TR_00168,Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,17,card_payment_wrong_exchange_rate
TR_00169,Why hasn't my withdrawal shown on my statement?,46,pending_cash_withdrawal
TR_00170,How soon will I get my card?,12,card_delivery_estimate
TR_00171,Can topping up be automatic?,4,automatic_top_up
TR_00172,I need assistance completing a transfer. I'm trying to purchase a flat and need the money for the initial mortgage payment. I keep getting an error and the transfer is not going through. What is going on here?,35,failed_transfer
TR_00173,"I need to activate my card, how is that done?",0,activate_my_card
TR_00174,What's the minimum age for opening an account?,1,age_limit
TR_00175,How old does one need to be?,1,age_limit
TR_00176,"I tried to get money out of the Notting Hill ATM earlier, but wasn't able to. Is my card working okay? It's the first time I tried using it.",26,declined_cash_withdrawal
TR_00177,Can I change my address?,30,edit_personal_details
TR_00178,"My cash withdrawal was declined, why?",26,declined_cash_withdrawal
TR_00179,Why has payment been returned?,53,reverted_card_payment?
TR_00180,How can I move money from my account at a different bank to the account I have at this bank.,65,transfer_into_account
TR_00181,I had a payment reverted and would like to figure out why.,53,reverted_card_payment?
TR_00182,I received a different amount of cash than what I entered.,75,wrong_amount_of_cash_received
TR_00183,My identity hasn't been verified.  Can I use my account?,74,why_verify_identity
TR_00184,Is there a limit to top-up amounts?,60,top_up_limits
TR_00185,A random charge got added to my card,16,card_payment_not_recognised
TR_00186,How can I get disposable virtual cards?,37,get_disposable_virtual_card
TR_00187,Why won't my virtual card work?,72,virtual_card_not_working
TR_00188,How do I link a card that I already have?,13,card_linking
TR_00189,There is a payment showing as pending and hasn't posted for a few days.  When will it post?,45,pending_card_payment
TR_00190,I made a purchase and would like to get a refund for what I bought can you have the money put back in my account?,52,request_refund
TR_00191,Where can I find top up by cash deposit?,58,top_up_by_cash_or_cheque
TR_00192,"How long do tranfers from a UK account usuallt take for you? I just made a transfer and nothing shows up, so just wondering if things went ok",5,balance_not_updated_after_bank_transfer
TR_00193,"I'd like to make a SEPA transfer to my account, but will I be charged?",56,top_up_by_bank_transfer_charge
TR_00194,When will my transfer move from pending to confirmed?,48,pending_transfer
TR_00195,The ATM did not give me as much cash as I requested.,75,wrong_amount_of_cash_received
TR_00196,How does your app transfer the money,65,transfer_into_account
TR_00197,What do I do if my disposable virtual card doesn't work?,72,virtual_card_not_working
TR_00198,How do I reset my password?,44,passcode_forgotten
TR_00199,Why hasn't my account updated?,6,balance_not_updated_after_cheque_or_cash_deposit
TR_00200,Is there any way to Auto top-up?,4,automatic_top_up
TR_00201,I would like to use one of my cards for a family member. Is that allowed?,39,getting_spare_card
TR_00202,How long does a transfer transaction take?,67,transfer_timing
TR_00203,What do I have to do to get my PIN unblocked?,49,pin_blocked
TR_00204,How much would an extra card cost?,39,getting_spare_card
TR_00205,how to get card pin?,38,get_physical_card
TR_00206,The top-up I ordered didn't process.,59,top_up_failed
TR_00207,I think my card has been used by somebody else since I was never in the little town where some transactions on this bill have come from. Please stop this right away.,22,compromised_card
TR_00208,What do I do about a debit on my account that I didn't make?,28,direct_debit_payment_not_recognised
TR_00209,"I didn't get cash from an ATM, but the app says I did",20,cash_withdrawal_not_recognised
TR_00210,"I transferred money from the US, How long does it take?",67,transfer_timing
TR_00211,Which US cards have top up charges?,57,top_up_by_card_charge
TR_00212,How much is it to receive money?,56,top_up_by_bank_transfer_charge
TR_00213,What method do you use for the exchange rate?,32,exchange_rate
TR_00214,"My wallet isn't showing my top-up, did I do something wrong?",62,topping_up_by_card
TR_00215,I'm looking to get an additional card.,39,getting_spare_card
TR_00216,Why does a payment show up twice?,63,transaction_charged_twice
TR_00217,what is the fee for topping up by card?,57,top_up_by_card_charge
TR_00218,What can I use to verify my identify?,69,verify_my_identity
TR_00219,You advertise no fee when paying with a card then my statement shows a fee.,15,card_payment_fee_charged
TR_00220,Someone I don't know has used my card without permission.,22,compromised_card
TR_00221,how many uses are the disposable cards good for?,29,disposable_card_limits
TR_00222,Why couldn't I get cash from an ATM?,26,declined_cash_withdrawal
TR_00223,How do I re-add a card to the app?,13,card_linking
TR_00224,"If US cards have a top up charge, what is it?",57,top_up_by_card_charge
TR_00225,I did a transfer and I was charged a fee that shouldn't be there!,64,transfer_fee_charged
TR_00226,Is it ok for a friend to send me money?,50,receiving_money
TR_00227,Where are the virtual cards located?,40,getting_virtual_card
TR_00228,Is there a way to order a virtual card on the website?,40,getting_virtual_card
TR_00229,Why is the top-up I made still pending.,47,pending_top_up
TR_00230,There is an unauthorized payment in my statement.,16,card_payment_not_recognised
TR_00231,Are the delivery days flexible?  My schedule only allows me to be a available on specific dates.,12,card_delivery_estimate
TR_00232,"I need help to resolve mix up on my card payment. My account shows the money was taken out and then put back in the account. Then I received a message from the seller, It said that they did not get my payment.",53,reverted_card_payment?
TR_00233,I did not get the right amount of cash from the ATM.,75,wrong_amount_of_cash_received
TR_00234,"My phone is lost I don't want someone to use my account, what can I do?",42,lost_or_stolen_phone
TR_00235,"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",46,pending_cash_withdrawal
TR_00236,I transferred some funds but I don't see it,5,balance_not_updated_after_bank_transfer
TR_00237,Help me locate the nearest ATM.,3,atm_support
TR_00238,How can I obtain a virtual card?,40,getting_virtual_card
TR_00239,"When traveling, can I auto top-up my card at certain times?",4,automatic_top_up
TR_00240,What stipulations do disposable cards entail?,29,disposable_card_limits
TR_00241,I can't use my card for anything,14,card_not_working
TR_00242,The amount of cash I requested to withdrawal did not match what I received when exchanged,76,wrong_exchange_rate_for_cash_withdrawal
TR_00243,I want to change my account details.,30,edit_personal_details
TR_00244,I'm being asked for a verification code. Where do I find it?,71,verify_top_up
TR_00245,How to modify my details.,30,edit_personal_details
TR_00246,Is my card denied anywhere?,10,card_acceptance
TR_00247,Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,6,balance_not_updated_after_cheque_or_cash_deposit
TR_00248,"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",25,declined_card_payment
TR_00249,Where did this extra €1 fee on my statement come from?,34,extra_charge_on_statement
TR_00250,Why can I not transfer money into my account?,65,transfer_into_account
TR_00251,Why do you need me to do an identity check?,74,why_verify_identity
TR_00252,Why do I need to verify my account?,74,why_verify_identity
TR_00253,Can I do a SWIFT transfer?,56,top_up_by_bank_transfer_charge
TR_00254,My statement shows a strange direct debit.,28,direct_debit_payment_not_recognised
TR_00255,Can I find the origination of my funds?,70,verify_source_of_funds
TR_00256,Am I able to get a card in EU?,24,country_support
TR_00257,Why would I be charged an extra fee while doing a transfer?,64,transfer_fee_charged
TR_00258,My card payment has been declined,25,declined_card_payment
TR_00259,Someone stole my card!,41,lost_or_stolen_card
TR_00260,"I need to delete my account, please.",55,terminate_account
TR_00261,It wants me to verify the top up. Why?,71,verify_top_up
TR_00262,What is the code I need to get into the app?,44,passcode_forgotten
TR_00263,Can you tell me how to close my account?,55,terminate_account
TR_00264,What do I need to do to correct this failed transfer?,35,failed_transfer
TR_00265,Can I change my PIN abroad?,21,change_pin
TR_00266,What's the expected wait time to recieve my new card?,11,card_arrival
TR_00267,I made a cash withdrawal and was charged a fee incorrectly can you help with this?,19,cash_withdrawal_charge
TR_00268,can you check why I wasn't able to top up?,59,top_up_failed
TR_00269,How come when I tried to pay contactless at the bus it didnt work?,23,contactless_not_working
TR_00270,Can you tell my why my funds transfer did not work properly?,35,failed_transfer
TR_00271,What should I do if I've tried to enter my PIN too often?,49,pin_blocked
TR_00272,Why can't I transfer to an account?,7,beneficiary_not_allowed
TR_00273,help me with my transfer,35,failed_transfer
TR_00274,There is an extra 1£ charge on my app. Why did you charge me extra?,34,extra_charge_on_statement
TR_00275,How many disposable cards can I have?,29,disposable_card_limits
TR_00276,What are the places that you deliver cards to?,43,order_physical_card
TR_00277,"I requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money.  I don't know what's going on, or why the money is getting into my account--could you please help?",51,Refund_not_showing_up
TR_00278,Where should I look for my PIN number at?,38,get_physical_card
TR_00279,Is there a limit on how much I can withdraw from my account without being charged?,19,cash_withdrawal_charge
TR_00280,The app denied my top-up,59,top_up_failed
TR_00281,How can I cancel my transfer?,8,cancel_transfer
TR_00282,"My account got charged for taking out cash, why did this happen?",19,cash_withdrawal_charge
TR_00283,What is the source of your exchange rates?,32,exchange_rate
TR_00284,What should I do if I can't prove my identity.,68,unable_to_verify_identity
TR_00285,"Why won't you take my transfer, I keep getting an error message.",7,beneficiary_not_allowed
TR_00286,Please tell me how I verify my identity.,69,verify_my_identity
TR_00287,Fees for currency exchange,31,exchange_charge
TR_00288,dont understand why transfer failed,35,failed_transfer
TR_00289,Why hasn't my top-up been completed?,47,pending_top_up
TR_00290,why are all my identity details required,74,why_verify_identity
TR_00291,I can't find any option to top up with a cheque?,58,top_up_by_cash_or_cheque
TR_00292,Does it cost me to add cash?,56,top_up_by_bank_transfer_charge
TR_00293,Who do I talk to about the ATM swallowing my card?,18,card_swallowed
TR_00294,Are virtual cards available to get?,40,getting_virtual_card
TR_00295,Is there an alternative to a physical card?,40,getting_virtual_card
TR_00296,how much is the fee for topping by card,57,top_up_by_card_charge
TR_00297,Why did I get declined during a transfer?,27,declined_transfer
TR_00298,How come I have pending transfers?,48,pending_transfer
TR_00299,"Hello,  I have recharged topup but account is not credited. Please help me in this, i guess there is some defect in system.",61,top_up_reverted
TR_00300,is there a charge on withdrawals?,19,cash_withdrawal_charge
TR_00301,"There's a €1 fee on my statement, why?",34,extra_charge_on_statement
TR_00302,My card rejected a cash withdrawal. Why?,26,declined_cash_withdrawal
TR_00303,I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?,6,balance_not_updated_after_cheque_or_cash_deposit
TR_00304,Where can I find a list of descriptions the disposable cards have?,29,disposable_card_limits
TR_00305,My transfer is pending.,5,balance_not_updated_after_bank_transfer
TR_00306,Explain the payment that was declined!,25,declined_card_payment
TR_00307,I did not make a cash withdrawal that is on my statement,20,cash_withdrawal_not_recognised
TR_00308,"I was blocked by using the wrong pin too many times, can you help me?",49,pin_blocked
TR_00309,How do you top-up using cash?,58,top_up_by_cash_or_cheque
TR_00310,I tried to buy something online yesterday and was told declined. I got the same error today after trying again. What is the problem?,27,declined_transfer
TR_00311,WHAT CAN I DO AFTER THE CARD MISSING,0,activate_my_card
TR_00312,"Hi, I have an apple watch. How do I use it to top up my card?",2,apple_pay_or_google_pay
TR_00313,Are there any limits to how many disposable cards I can use?,29,disposable_card_limits
TR_00314,There is  a charge I don't recognize.,16,card_payment_not_recognised
TR_00315,Do you support all countries?,24,country_support
TR_00316,I just got my new card.  How can I activate it?,0,activate_my_card
TR_00317,Can I change my PIN at any cash machines?,21,change_pin
TR_00318,What if I type in the wrong PIN too many times?,49,pin_blocked
TR_00319,I can't get my Google Pay Top to work. Are there any issues on your end?,2,apple_pay_or_google_pay
TR_00320,What is your policy on withdrawing cash from an ATM? There is a fee on my account that wasn't there before I paid for my groceries.,19,cash_withdrawal_charge
TR_00321,Where is my money? I transfered it and it isn't in my account.,5,balance_not_updated_after_bank_transfer
TR_00322,I'm waiting for my transaction to complete.,66,transfer_not_received_by_recipient
TR_00323,How can I top up using google pay?,2,apple_pay_or_google_pay
TR_00324,"i have used my card online before and wasn't charged, why am i charged now",15,card_payment_fee_charged
TR_00325,I am trying to revert a transcation I did this morning,8,cancel_transfer
TR_00326,How can I order my card?,43,order_physical_card
TR_00327,I did not get as much cash as I requested at the ATM.,75,wrong_amount_of_cash_received
TR_00328,Is there a fee to make a transfer?,56,top_up_by_bank_transfer_charge
TR_00329,How does my top-up got cancelled?,61,top_up_reverted
TR_00330,Why would my top up be reverted?,61,top_up_reverted
TR_00331,How much does it cost to top up a US-issued card?,57,top_up_by_card_charge
TR_00332,my friend has not got the money I sent last week.,66,transfer_not_received_by_recipient
TR_00333,Is there a disposable virtual card?,37,get_disposable_virtual_card
TR_00334,What physical locations can I use cash to top up?,58,top_up_by_cash_or_cheque
TR_00335,What is the significance of verifying the top-up?,71,verify_top_up
TR_00336,"Please help me with the amount that i have withdrawn from the ATM today, the ATM has given me wrong sum of amount, and i could see that the app is displaying the greater amount than taken out.",75,wrong_amount_of_cash_received
TR_00337,what's the process for getting a disposable virtual card?,37,get_disposable_virtual_card
TR_00338,can i top up from a usa credit card,54,supported_cards_and_currencies
TR_00339,Can I change the amount I made on a payment that I made to the payment is correct.,8,cancel_transfer
TR_00340,"I am having issues using contactless payments, could my card be damaged?",23,contactless_not_working
TR_00341,Can you tell me why my transfer declined?,27,declined_transfer
TR_00342,"I am at the ATM and tried to withdraw 30 pounds and it only gave me 10 pounds, what do I do?",75,wrong_amount_of_cash_received
TR_00343,"Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it?",48,pending_transfer
TR_00344,What forms of ID should I use for verification?,69,verify_my_identity
TR_00345,Will there be any extra fees for European bank card for top up?,57,top_up_by_card_charge
TR_00346,Do you have a children account available?,1,age_limit
TR_00347,Why can't I topup my account?,59,top_up_failed
TR_00348,"I just recently got a new beach condo in Bora Bora, and to furnish it I used this account a lot from overseas. It's upsetting, being a long-time customer of yours, that I saw extra fees on my account from my currency transfer. Is this what I should expect from you in the future?",64,transfer_fee_charged
TR_00349,If my card payment isn't working what do I do?,25,declined_card_payment
TR_00350,Can you provide a reason as to why my transfer did not work?,35,failed_transfer
TR_00351,Where can I get a disposable virtual card?,37,get_disposable_virtual_card
TR_00352,I thought I was going to receive more currency?,76,wrong_exchange_rate_for_cash_withdrawal
TR_00353,Why do I have to give you my drivers license,74,why_verify_identity
TR_00354,Where is the top-up verification code sent?,71,verify_top_up
TR_00355,What do I need to do to exchange my money?,33,exchange_via_app
TR_00356,Are there restrictions on disposable virtual cards?,29,disposable_card_limits
TR_00357,want to know where funds come from,70,verify_source_of_funds
TR_00358,Are their fee's for top ups?,57,top_up_by_card_charge
TR_00359,"Can you check about unauthorized use of my card, I think someone is using mine without my knowledge?",22,compromised_card
TR_00360,Why can't I see my topup in my wallet anymore?,62,topping_up_by_card
TR_00361,I need another card for a member of my family. Is this possible? How soon can I get one?,39,getting_spare_card
TR_00362,do i have to wait for a physical card before i get my pin,38,get_physical_card
TR_00363,Do you provide cards to people not in the UK?,24,country_support
TR_00364,The bank charged me fees for withdrawing cash!,19,cash_withdrawal_charge
TR_00365,How come the money from the merchant appeared back into my account?,53,reverted_card_payment?
TR_00366,Can you tell me why my card payment was cancelled?,53,reverted_card_payment?
TR_00367,"I only made one transaction at this place, but it's appearing multiple times.",63,transaction_charged_twice
TR_00368,"There was a transaction from two weeks ago from a business that I don't know. I'm fairly certain it wasn't me who made it, but is it an option to trace it to confirm?",28,direct_debit_payment_not_recognised
TR_00369,How do I unblock my card using the app?,14,card_not_working
TR_00370,Why am I being charged for withdrawing cash but haven't in the past?,19,cash_withdrawal_charge
TR_00371,Is it possible to get a Visa here?,73,visa_or_mastercard
TR_00372,"For SEPA transfers, what kind of charge will be applied?",56,top_up_by_bank_transfer_charge
TR_00373,How long does it take for my payment to process?,45,pending_card_payment
TR_00374,"I'm trying to verify my top-up card, but I can't find the code...?",71,verify_top_up
TR_00375,Can I transfer something urgently from China? How long does it take?,67,transfer_timing
TR_00376,Why did I get charged for a transfer?,64,transfer_fee_charged
